ID,Head_zoom,Head_micrometer_units,Head_width (mm),Length (mm),TANK
10D,4.5,73,1.62,10.5,27
47F,4.5,76,1.69,10.5,27
38F,4.5,79,1.76,10,27
46F,4.5,81,1.80,12.5,27
09B,4.5,84,1.87,12,27
12F,4.5,85,1.89,12,27
27G,4.5,87,1.93,14,27
48C,4.5,90,2.00,13.5,27
15A,4.5,94,2.09,14.5,27
76D,4.5,70,1.56,9,28
49C,4.5,78,1.73,10,28
30G,4.5,80,1.78,10,28
42F,4.5,82,1.82,11.5,28
18G,4.5,84,1.87,12.5,28
89E,4.5,86,1.91,11.5,28
85C,4.5,89,1.98,12,28
36G,4.5,91,2.02,12,28
33C,4.5,97,2.16,13.5,28
38E,4.5,95,2.11,13,28
03B,4.5,66,1.47,8.5,29
35A,4.5,77,1.71,11,29
31C,4.5,77,1.71,11,29
31D,4.5,79,1.76,10.5,29
32F,4.5,81,1.80,12,29
54E,4.5,83,1.84,12,29
51E,4.5,85,1.89,12,29
52E,4.5,87,1.93,12,29
56C,4.5,90,2.00,12.5,29
47C,4.5,93,2.07,12.5,29
12B,4.5,69,1.53,9,30
91F,4.5,74,1.64,10.5,30
05C,4.5,80,1.78,11.5,30
06E,4.5,82,1.82,11,30
78C,4.5,84,1.87,12,30
44C,4.5,86,1.91,13,30
46E,4.5,88,1.96,14,30
43A,4.5,90,2.00,12,30
67A,4.5,94,2.09,13,30
27E,4.5,96,2.13,12.5,30
29D,4.5,68,1.51,9,31
42C,4.5,74,1.64,9.5,31
94E,4.5,77,1.71,10,31
34A,4.5,80,1.78,11,31
77C,4.5,82,1.82,11.5,31
25C,4.5,84,1.87,10.5,31
63B,4.5,86,1.91,12,31
74E,4.5,88,1.96,12.5,31
26D,4.5,90,2.00,15,31
39A,4.5,94,2.09,13,31
23D,4.5,66,1.47,8,32
13C,4.5,76,1.69,9.5,32
98C,4.5,78,1.73,10,32
26G,4.5,80,1.78,11,32
28G,4.5,82,1.82,10.5,32
68F,4.5,97,2.16,14.5,32
56F,4.5,86,1.91,12,32
94D,4.5,89,1.98,13.5,32
34G,4.5,91,2.02,13,32
59A,4.5,95,2.11,12.5,32
21G,4.5,71,1.58,9,33
73E,4.5,76,1.69,10.5,33
54F,4.5,78,1.73,10,33
38D,4.5,80,1.78,10.5,33
29C,4.5,81,1.80,11.5,33
50B,4.5,83,1.84,11,33
37B,4.5,85,1.89,12,33
24A,4.5,87,1.93,12,33
36F,4.5,89,1.98,14,33
82D,4.5,95,2.11,14,33
19B,4.5,70,1.56,9.5,34
03G,4.5,75,1.67,9,34
30C,4.5,78,1.73,10.5,34
59E,4.5,80,1.78,10.5,34
07F,4.5,82,1.82,10.5,34
75E,4.5,84,1.87,13,34
22C,4.5,87,1.93,11,34
70A,4.5,89,1.98,13,34
15D,4.5,94,2.09,13.5,34
17G,4.5,96,2.13,13,34
70C,4.5,65,1.44,8.5,35
36D,4.5,97,2.16,10.5,35
92E,4.5,78,1.73,11,35
51C,4.5,79,1.76,10,35
33A,4.5,83,1.84,11,35
08C,4.5,85,1.89,11.5,35
16B,4.5,85,1.89,13,35
60F,4.5,89,1.98,12,35
72F,4.5,92,2.04,12.5,35
67B,4.5,92,2.04,13.5,35
77D,4.5,66,1.47,8,36
53F,4.5,76,1.69,10.5,36
04D,4.5,76,1.69,10.5,36
84A,4.5,97,2.16,13,36
55C,4.5,81,1.80,12,36
95B,4.5,83,1.84,11,36
35C,4.5,85,1.89,12,36
26C,4.5,87,1.93,11.5,36
80F,4.5,89,1.98,11,36
64B,4.5,95,2.11,13.5,36
