ID,Head_zoom,Head_micrometer_units,Head_width (mm),Length (mm)
83E,4,93,2.33,14
03F,4.5,98,2.18,14.5
87E,3.5,88,2.51,15.5
99E,3.5,87,2.49,16
55F,4.5,74,1.64,10.5
57F,4.5,76,1.69,10.5
60F,4.5,89,1.98,12
45F,4.5,83,1.84,12
43F,4.5,76,1.69,10
56F,4.5,86,1.91,12
51F,4.5,77,1.71,11.5
40F,4.5,89,1.98,13.5
50F,4.5,88,1.96,12.5
52F,4.5,80,1.78,10.5
58F,4.5,82,1.82,12
34F,4.5,72,1.60,10
53F,4.5,76,1.69,10.5
39F,4.5,82,1.82,10.5
35F,4.5,77,1.71,10.5
48F,4.5,94,2.09,12.5
36F,4.5,89,1.98,14
28F,4.5,84,1.87,12
37F,4.5,86,1.91,12
41F,4.5,86,1.91,12.5
59F,4.5,76,1.69,10.5
32F,4.5,81,1.80,12
46F,4.5,81,1.80,12.5
42F,4.5,82,1.82,11.5
25F,4.5,83,1.84,12
31F,4.5,78,1.73,10
33F,4.5,67,1.49,9
44F,4.5,86,1.91,12.5
22F,4.5,75,1.67,9.5
27F,4.5,73,1.62,8.5
47F,4.5,76,1.69,10.5
29F,4.5,75,1.67,10.5
38F,4.5,79,1.76,10
26F,4.5,79,1.76,11
23F,4.5,72,1.60,10.5
24F,4.5,77,1.71,11.5
54F,4.5,78,1.73,10
49F,4.5,79,1.76,11
30F,4,97,2.43,15
21F,4.5,81,1.80,11
36G,4.5,91,2.02,12
32G,4.5,89,1.98,13
34G,4.5,91,2.02,13
29G,4.5,69,1.53,8.5
37G,4.5,78,1.73,10
28G,4.5,82,1.82,10.5
24G,4.5,76,1.69,9
38G,4.5,82,1.82,11.5
30G,4.5,80,1.78,10
31G,4.5,83,1.84,13
23G,4.5,71,1.58,11.5
16G,4.5,82,1.82,12
15G,4.5,63,1.40,9
20G,4.5,82,1.82,12
33G,4.5,85,1.89,13
40G,4.5,75,1.67,10
01G,4.5,65,1.44,9.5
18G,4.5,84,1.87,12.5
26G,4.5,80,1.78,11
06G,4.5,80,1.78,12
14G,4.5,86,1.91,13
25G,4.5,80,1.78,10
21G,4.5,71,1.58,9
12G,4.5,67,1.49,9.5
09G,4.5,92,2.04,12
03G,4.5,75,1.67,9
19G,4.5,89,1.98,14
22G,4.5,97,2.16,14
11G,4.5,90,2.00,12.5
04G,4.5,83,1.84,11.5
27G,4.5,87,1.93,14
05G,4,100,2.50,16.5
10G,4.5,88,1.96,13
17G,4.5,96,2.13,13
02G,4.5,84,1.87,13
39G,4.5,96,2.13,14
35G,4.5,90,2.00,13
07G,4.5,91,2.02,13
08G,4,95,2.38,15
13G,4.5,87,1.93,14
64F,4,92,2.30,13.5
62F,4.5,93,2.07,12.5
66F,4,92,2.30,14.5
76F,4.5,37,0.82,4.5
73F,4.5,38,0.84,4
97F,4.5,79,1.76,11
95F,4,98,2.45,14.5
99F,4.5,93,2.07,13.5
91F,4.5,74,1.64,10.5
96F,4.5,85,1.89,12
93F,4.5,90,2.00,11.5
92F,4.5,80,1.78,10
94F,4,99,2.48,15
84F,4,88,2.20,13.5
86F,4.5,94,2.09,12.5
100F,4.5,85,1.89,11
89F,4.5,84,1.87,12
88F,4.5,87,1.93,11
98F,4.5,74,1.64,8.5
87F,4.5,94,2.09,12
83F,4.5,82,1.82,9.5
81F,4.5,90,2.00,13
72F,4.5,92,2.04,12.5
69F,4.5,91,2.02,12
79F,4.5,78,1.73,10
80F,4.5,89,1.98,11
74F,4.5,80,1.78,10.5
82F,4.5,95,2.11,14
90F,4.5,75,1.67,9
71F,4,86,2.15,17
78F,3,90,3.00,19
85F,4,86,2.15,13
77F,4.5,84,1.87,10.5
70F,4,91,2.28,13.5
63F,4.5,86,1.91,10.5
67F,4.5,67,1.49,10
65F,4.5,88,1.96,10.5
61F,4.5,79,1.76,10.5
68F,4.5,97,2.16,14.5
