TEMP,TRTMENT,TANK,ID#,14,28,42,56,70,84,98,112,126,140,154
14,0,1,65F,0.637365241,0.31868262,0.21245508,0.180986597,0.127473048,0.120657731,0.186042405,0.172653029,0.144699648,0.205487195,0.194873112
14,0,1,44F,0,0.355462841,0.211779729,0.17773142,0.127067837,0.258705513,0.221747583,0.184580823,0.278447638,0.250602874,0.227820795
14,0,1,85D,0,0.0373975,0,0.265845755,0.183220479,0.152683733,0.212548003,0.195737602,0.156545402,0.140890862,0.13525782
14,0,1,25A,0,0,0.027211181,0,0.155432657,0.129527214,0.111023326,0.097145411,0.187970155,0.16917314,0.147133698
14,0,1,16E,-0.082577303,0,-0.055373481,-0.020644326,0,0.09212698,0.089764054,0.069095235,0.061417987,0.146965578,0.133605071
14,0,1,22B,0.105822041,0.10504959,0.104291959,0.078218969,0.062575175,0.165610479,0.141951839,0.124207859,0.242989593,0.194745854,0.282388957
14,0,1,20G,0,0,,,,,,,,,
14,0,1,98D,0,0,0.209779208,0.178720462,0.142976369,0.253049336,0.216899431,0.189787002,0.160211232,0.258400481,0.234909528
14,0,1,97A,0.080711109,0.040355554,,,,,,,,,
14,0,1,38D1,0,0.044924222,-0.155673236,0.172250475,,,,,,,
14,400,2,93F,0.162344651,0,0.027211181,0.248682263,0.155432657,0.129527214,0.252035477,0.224387882,0.20400405,0.249824644,0.253621101
14,400,2,05F,0.086581147,0.252205597,0.168137065,0.105694413,0.100882239,0.224286432,0.192245513,0.168214824,0.23494545,0.211450905,0.205346737
14,400,2,29F,0.89402245,0.404745305,0.183240574,0.244391398,0.367461236,0.293881045,0.251898039,0.229663272,0.313821248,0.267861358,0.243510325
14,400,2,80D,-0.259768887,0,0.216599472,0.181754811,0.129959683,0.133902361,0.245758294,0.215038508,0.182746841,0.244490147,0.22226377
14,400,2,17D,0.31402231,0.039904645,0.229359783,0.153704659,0.031747338,0.126766048,0.218483821,0.191173343,0.153567347,0.240992169,0.238862496
14,400,2,87B,-0.07806479,0,0.150425956,0.130948702,0.090255574,0.09926382,0.205270046,0.17961129,0.164176719,0.217312021,0.217335089
14,400,2,52B,0.08453184,0.04226592,0,0.02113296,0,0.158965944,0.136256523,0.119224458,0.09766674,0.201490062,0.16992027
14,400,2,17A,,,,,,,,,,,
14,400,2,57E,0.244921953,0.162365622,0.108243748,0.120430859,0.064946249,0.067276441,0.1332859,0.116625163,0.103666811,0.100551824,0.078158235
14,400,2,25E,0.17858073,0,0.029949481,0.172250475,0.13780038,0.280621826,0.198877897,0.210466369,0.187081217,0.27262589,0.255016937
14,1000,3,98F,0.099901728,0.099212729,,,,,,,,,
14,1000,3,50F,0.080711109,0.040355554,0.0535068,0.0401301,,,,,,,
14,1000,3,61F,0,-0.047304381,0.209779208,,,,,,,,
14,1000,3,11G,0,0.039904645,,,,,,,,,
14,1000,3,41C,0,0,,,,,,,,,
14,1000,3,38B,0,0,,,,,,,,,
14,1000,3,24F,0,0,0,,,,,,,,
14,1000,3,04G,0,0.406281733,0.270854489,,,,,,,,
14,1000,3,66E,0,0.252205597,0.168137065,0.126102799,0.084555531,0.084068532,0.192245513,0.168214824,0.149524288,0.238022536,0.205346737
14,1000,3,96C,0,0.037793248,0.280435799,,,,,,,,
14,200,4,100B,0.680786999,0.386477088,0.257651392,0.193238544,0.294074363,0.245061969,0.3328732,0.282011562,0.242366389,0.324468052,0.281581808
14,200,4,93A,0,0.084037491,0.083550761,0.275269071,0.234718645,0.311520494,0.277483383,0.233640371,0.20768033,0.30404844,0.276407672
14,200,4,03E,0,,,,,,,,,,
14,200,4,42D,0,0.078496095,0.026309134,0.01973185,0.152299622,0.125429185,0.120186771,0.094071889,0.199455895,0.171529377,0.14489841
14,200,4,03A,0.074019907,0.19015898,0.097195225,0.27298992,0.212220992,0.16476467,0.256443294,0.233640371,0.199455895,0.186912297,0.242672993
14,200,4,40B,0.076394922,0.113388208,0.075592139,0.22942558,0.198657763,0.152950387,0.256443294,0.233937248,0.199455895,0.281895851,0.241996938
14,200,4,62F,0.074794999,0.111037811,0.024931666,0,0.227179992,0.152683733,0.162271423,0.132922877,0.207766451,0.194391797,0.163191187
14,200,4,04F,0.473209897,0.327025691,0.218017127,0.163512846,0.299071756,0.249226463,0.321133413,0.301949197,0.249770432,0.336938924,0.306308113
14,200,4,97B,0.080711109,0.040355554,0.30436517,0.210326849,0.182619102,0.352102608,0.301802236,0.264076956,0.365656974,0.305669974,0.270626405
14,200,4,32G,0.614818634,0.420653699,0.253532096,0.172019837,0.326551682,0.266983948,0.239098828,0.209211475,0.30375941,0.255569935,0.232336304
14,800,5,26F,0.931155842,0.385317721,0.2296673,0.192658861,,,,,,,
14,800,5,17F,0.390417232,0.344039675,0.204939545,0.172019837,0.122963727,0.114679892,0.228843384,0.214298994,0.177989298,0.255569935,0.238862496
14,800,5,96A,0.269573771,0,0,,,,,,,,
14,800,5,97E,0.172125368,0,,,,,,,,,
14,800,5,22D,0.074794999,0,0,0,,,,,,,
14,800,5,50D,0.37530367,0.0373975,,,,,,,,,
14,800,5,21F,1.010083243,0.344500951,0.2296673,0.192658861,,,,,,,
14,800,5,90E,0,0,0,0.046384797,,,,,,,
14,800,5,33G,0.487201786,0.282633288,0.136091462,0.121800446,,,,,,,
14,800,5,33E,-0.091693905,0.384023341,0.304608112,0.173506694,,,,,,,
14,600,6,33B,0.332285826,0.084037491,,,,,,,,,
14,600,6,37G,-0.090993041,0.089290365,0.029949481,-0.045790055,,,,,,,
