TEMP,TRTMENT,TANK,ID#,28,42,56,70,84,98,112,126,140,154
14,0,1,65F,0,0,0.021645287,0,0.014430191,0.094990228,0.092982374,0.073881288,0.141750671,0.136930817
14,0,1,44F,0.355462841,0.211779729,0.17773142,0.127067837,0.258705513,0.221747583,0.184580823,0.278447638,0.250602874,0.227820795
14,0,1,85D,0.0373975,0,0.265845755,0.183220479,0.152683733,0.212548003,0.195737602,0.156545402,0.140890862,0.13525782
14,0,1,25A,0,0.027211181,0,0.155432657,0.129527214,0.111023326,0.097145411,0.187970155,0.16917314,0.147133698
14,0,1,16E,0.041288651,-0.027847714,0,0.016515461,0.105889864,0.101560812,0.079417398,0.070593243,0.155223308,0.141112098
14,0,1,22B,0.052138569,0.069017945,0.051763459,0.041410767,0.147973472,0.126834405,0.110980104,0.231231588,0.18416365,0.272768771
14,0,1,20G,0,,,,,,,,,
14,0,1,98D,0,0.209779208,0.178720462,0.142976369,0.253049336,0.216899431,0.189787002,0.160211232,0.258400481,0.234909528
14,0,1,97A,0,,,,,,,,,
14,0,1,38D1,0.044924222,-0.155673236,0.172250475,,,,,,,
14,400,2,93F,-0.081172325,-0.026903703,0.2080961,0.122963727,0.102469772,0.228843384,0.204094801,0.185965755,0.233590179,0.238862496
14,400,2,05F,0.208915024,0.139276683,0.084049127,0.08356601,0.209856241,0.179876778,0.157392181,0.225325323,0.20279279,0.197475723
14,400,2,29F,-0.04226592,-0.114766909,0.020885785,0.188656746,0.144877304,0.124180546,0.117910466,0.21448542,0.178459113,0.162235557
14,400,2,80D,0.129884443,0.303189101,0.246697033,0.181913461,0.177197176,0.282868135,0.247509618,0.21161005,0.270467036,0.245879124
14,400,2,17D,-0.11710651,0.12468568,0.075199081,-0.031057124,0.074428996,0.173623491,0.151920555,0.118675979,0.209589938,0.210315014
14,400,2,87B,0.039032395,0.176447553,0.150464899,0.105868532,0.112274618,0.216422158,0.189369389,0.172850584,0.2251185,0.224431888
14,400,2,52B,0,-0.02817728,0,-0.016906368,0.144877304,0.124180546,0.108657978,0.088274314,0.193036878,0.162235557
14,400,2,17A,,,,,,,,,,
14,400,2,57E,0.039904645,0.026603097,0.05920037,0.015961858,0.026456115,0.09829705,0.086009919,0.076453261,0.076059629,0.055892603
14,400,2,25E,-0.089290365,-0.029577429,0.127605293,0.102084234,0.250858371,0.173366364,0.188143778,0.167238914,0.254767817,0.238782325
14,1000,3,98F,0.049261865,,,,,,,,,
14,1000,3,50F,0,0.026603097,0.019952322,,,,,,,
14,1000,3,61F,-0.047304381,0.209779208,,,,,,,,
14,1000,3,11G,0.039904645,,,,,,,,,
14,1000,3,41C,0,,,,,,,,,
14,1000,3,38B,0,,,,,,,,,
14,1000,3,24F,0,0,,,,,,,,
14,1000,3,04G,0.406281733,0.270854489,,,,,,,,
14,1000,3,66E,0.252205597,0.168137065,0.126102799,0.084555531,0.084068532,0.192245513,0.168214824,0.149524288,0.238022536,0.205346737
14,1000,3,96C,0.037793248,0.280435799,,,,,,,,
14,200,4,100B,0.046083589,0.030722392,0.023041794,0.157916963,0.13159747,0.235617915,0.196913187,0.166723389,0.256389352,0.219692081
14,200,4,93A,0.084037491,0.083550761,0.275269071,0.234718645,0.311520494,0.277483383,0.233640371,0.20768033,0.30404844,0.276407672
14,200,4,03E,,,,,,,,,,
14,200,4,42D,0.078496095,0.026309134,0.01973185,0.152299622,0.125429185,0.120186771,0.094071889,0.199455895,0.171529377,0.14489841
14,200,4,03A,0.153149027,0.072521923,0.254484944,0.19741701,0.152428019,0.245869022,0.224387882,0.191231461,0.179510306,0.235943911
14,200,4,40B,0.075190747,0.050127165,0.210326849,0.183378779,0.1402179,0.245529734,0.224387882,0.190967571,0.274256359,0.235051946
14,200,4,62F,0.073640311,0,-0.01869875,0.212220992,0.1402179,0.151586423,0.123573503,0.199455895,0.186912297,0.156391642
14,200,4,04F,0.090420743,0.060280495,0.045210371,0.204429777,0.170358147,0.253531999,0.24279796,0.197191555,0.289617934,0.263289031
14,200,4,97B,0,0.277461467,0.190149072,0.16647688,0.338650757,0.290272077,0.253988067,0.356689073,0.297598863,0.263289031
14,200,4,32G,0.113244382,0.048592552,0.018315179,0.203587955,0.164514175,0.151267595,0.132359146,0.235446229,0.194088071,0.176443701
14,800,5,26F,-0.080260199,-0.08071798,-0.0401301,,,,,,,
14,800,5,17F,0.148831059,0.074800467,0.074415529,0.04488028,0.049610353,0.173069493,0.16549684,0.134609606,0.216528212,0.203370021
14,800,5,96A,-0.134786886,-0.089857924,,,,,,,,
14,800,5,97E,-0.086062684,,,,,,,,,
14,800,5,22D,-0.0373975,-0.024931666,-0.01869875,,,,,,,
14,800,5,50D,-0.150254335,,,,,,,,,
14,800,5,21F,-0.160540671,-0.107027114,-0.05986195,,,,,,,
14,800,5,90E,0,0,0.046384797,,,,,,,
14,800,5,33G,0.039032395,-0.026309134,0,,,,,,,
14,800,5,33E,0.429870294,0.335172747,0.19643017,,,,,,,
14,600,6,33B,-0.082105422,,,,,,,,,
14,600,6,37G,0.134786886,0.060280495,-0.023041794,,,,,,,
14,600,6,57F,-0.04226592,-0.02817728,-0.02113296,,,,,,,
14,600,6,05A,-0.048591614,0.215200146,0.16140011,0.129120088,0.107600073,0.22216682,0.184637869,0.189864833,0.247369597,0.224881452
14,600,6,13D,-0.038197461,-0.051205251,-0.019098731,,,,,,,
14,600,6,90B,-0.164232547,0.155334576,0.116500932,0.16647688,,,,,,
14,600,6,85F,-0.158756295,-0.081908159,-0.079378147,,,,,,,
