TEMP,TRTMENT,TANK,ID#,28-Jul,10-Aug,24-Aug,8-Sep,21-Sep,5-Oct,19-Oct,2-Nov,16-Nov,30-Nov,14-Dec,28-Dec
14,0,1,65F,1.667,1.822,1.822,1.822222222,1.844444444,1.822222222,1.844444444,2,2.022222222,2,2.222222222,2.25
14,0,1,44F,1.911,1.911,2.111,2.088888889,2.111111111,2.088888889,2.375,2.375,2.35,2.714285714,2.714285714,2.714285714
14,0,1,85D,2.111,2.111,2.133,2.111111111,2.45,2.4,2.4,2.6,2.628571429,2.571428571,2.571428571,2.6
14,0,1,25A,1.933,1.933,1.933,1.955555556,1.933333333,2.155555556,2.155555556,2.155555556,2.155555556,2.45,2.45,2.425
14,0,1,16E,1.933,1.911,1.933,1.888888889,1.911111111,1.933333333,2.088888889,2.111111111,2.088888889,2.088888889,2.375,2.375
14,0,1,22B,1.489,1.511,1.533,1.555555556,1.555555556,1.555555556,1.711111111,1.711111111,1.711111111,2.022222222,1.955555556,2.3
14,0,1,20G,1.822,1.822,1.822,,,,,,,,,
14,0,1,98D,1.689,1.689,1.689,1.844444444,1.866666667,1.866666667,2.088888889,2.088888889,2.088888889,2.066666667,2.425,2.425
14,0,1,97A,1.956,1.978,1.978,,,,,,,,,
14,0,1,38D,1.756,1.756,1.778,1.644444444,1.933333333,,,,,,,
14,400,2,93F,1.933,1.978,1.933333333,1.955555556,2.222222222,2.155555556,2.155555556,2.475,2.485714286,2.5,2.742857143,2.857142857
14,400,2,05F,1.822,1.844,1.955555556,1.955555556,1.933333333,1.955555556,2.2,2.2,2.2,2.45,2.45,2.5
14,400,2,29F,1.667,1.889,1.866666667,1.8,1.911111111,2.155555556,2.133333333,2.133333333,2.155555556,2.475,2.425,2.425
14,400,2,80D,1.867,1.800,1.866666667,2.044444444,2.066666667,2.044444444,2.088888889,2.375,2.375,2.35,2.628571429,2.628571429
14,400,2,17D,1.978,2.067,2,2.177777778,2.155555556,2.022222222,2.2,2.45,2.45,2.4,2.771428571,2.857142857
14,400,2,87B,2.044,2.022,2.044444444,2.177777778,2.2,2.177777778,2.222222222,2.5,2.5,2.514285714,2.771428571,2.857142857
14,400,2,52B,1.867,1.889,1.888888889,1.866666667,1.888888889,1.866666667,2.133333333,2.133333333,2.133333333,2.111111111,2.475,2.425
14,400,2,17A,1.556,,,,,,,,,,,
14,400,2,57E,1.911,1.978,2,2,2.044444444,2,2.022222222,2.177777778,2.177777778,2.177777778,2.2,2.155555556
14,400,2,25E,1.756,1.800,1.755555556,1.777777778,1.933333333,1.933333333,2.222222222,2.133333333,2.222222222,2.222222222,2.571428571,2.6
14,1000,3,98F,1.578,1.600,1.622222222,,,,,,,,,
14,1000,3,50F,1.956,1.978,1.977777778,2,2,,,,,,,
14,1000,3,61F,1.689,1.689,1.666666667,1.844444444,,,,,,,,
14,1000,3,11G,1.978,1.978,2,,,,,,,,,
14,1000,3,41C,1.889,1.889,1.888888889,,,,,,,,,
14,1000,3,38B,1.489,1.489,1.488888889,,,,,,,,,
14,1000,3,24F,1.911,1.911,1.911111111,1.911111111,,,,,,,,
14,1000,3,04G,1.844,1.844,2.066666667,2.066666667,,,,,,,,
14,1000,3,66E,1.822,1.822,1.955555556,1.955555556,1.955555556,1.933333333,1.955555556,2.2,2.2,2.2,2.542857143,2.5
14,1000,3,96C,2.089,2.089,2.111111111,2.35,,,,,,,,
14,200,4,100B,1.556,1.711,1.733333333,1.733333333,1.733333333,1.911111111,1.911111111,2.155555556,2.133333333,2.111111111,2.45,2.4
14,200,4,93A,1.867,1.867,1.911111111,1.933333333,2.177777778,2.2,2.425,2.45,2.425,2.425,2.857142857,2.857142857
14,200,4,03E,1.733,1.733,,,,,,,,,,
14,200,4,42D,2.000,2.000,2.044444444,2.022222222,2.022222222,2.225,2.222222222,2.25,2.222222222,2.571428571,2.542857143,2.5
14,200,4,03A,2.133,2.156,2.25,2.222222222,2.485714286,2.475,2.45,2.742857143,2.771428571,2.742857143,2.771428571,3.1
14,200,4,40B,2.067,2.089,2.13,2.133333333,2.35,2.375,2.35,2.657142857,2.685714286,2.657142857,3.066666667,3
14,200,4,62F,2.111,2.133,2.177777778,2.133333333,2.111111111,2.475,2.4,2.475,2.45,2.742857143,2.771428571,2.714285714
14,200,4,04F,1.622,1.733,1.777777778,1.777777778,1.777777778,2.00,2,2.222222222,2.275,2.222222222,2.6,2.6
14,200,4,97B,1.956,1.978,1.977777778,2.222222222,2.2,2.222222222,2.628571429,2.628571429,2.628571429,3.1,3,2.966666667
14,200,4,32G,1.978,2.156,2.225,2.2,2.177777778,2.485714286,2.475,2.5,2.5,2.9,2.828571429,2.828571429
14,800,5,26F,1.756,2.000,1.955555556,1.933333333,1.955555556,,,,,,,
14,800,5,17F,1.978,2.089,2.177777778,2.155555556,2.177777778,2.155555556,2.177777778,2.475,2.514285714,2.475,2.828571429,2.857142857
14,800,5,96A,1.733,1.800,1.733333333,1.733333333,,,,,,,,
14,800,5,97E,1.822,1.867,1.822222222,,,,,,,,,
14,800,5,22D,2.111,2.133,2.111111111,2.111111111,2.111111111,,,,,,,
14,800,5,50D,2.111,2.225,2.133333333,,,,,,,,,
14,800,5,21F,1.756,2.022,1.933333333,1.933333333,1.955555556,,,,,,,
14,800,5,90E,1.689,1.689,1.688888889,1.688888889,1.733333333,,,,,,,
14,800,5,33G,1.889,2.022,2.044444444,2,2.022222222,,,,,,,
14,800,5,33E,2.178,2.150,2.425,2.475,2.4,,,,,,,
14,600,6,33B,1.867,1.956,1.911111111,,,,,,,,,
14,600,6,37G,1.756,1.733,1.8,1.777777778,1.711111111,,,,,,,
14,600,6,57F,1.844,1.889,1.866666667,1.866666667,1.866666667,,,,,,,
14,600,6,05A,1.622,1.644,1.622222222,1.8,1.8,1.8,1.8,2.044444444,2.022222222,2.088888889,2.325,2.325
14,600,6,13D,2.044,2.089,2.066666667,2.044444444,2.066666667,,,,,,,
14,600,6,90B,1.956,1.978,1.888888889,2.111111111,2.111111111,2.222222222,,,,,,
14,600,6,85F,2.000,2.300,2.2,2.222222222,2.2,,,,,,,
14,600,6,24C,1.778,1.844,1.822222222,2.066666667,2,2.022222222,2.022222222,2.35,2.35,2.657142857,2.628571429,2.628571429
14,600,6,30B,1.844,1.889,1.866666667,2.022222222,2.066666667,2.022222222,2.375,2.375,2.4,2.742857143,2.8,2.742857143
14,600,6,33D,2.075,2.250,2.2,2.25,2.542857143,2.542857143,2.833333333,2.966666667,2.857142857,2.966666667,2.9,3.266666667
22,600,7,40D,1.822,1.867,1.822222222,2,2,2,2.275,2.25,2.25,2.657142857,2.714285714,2.685714286
22,600,7,29G,1.533,,,,,,,,,,,
22,600,7,22F,1.667,1.711,1.666666667,1.711111111,1.711111111,1.711111111,1.711111111,1.711111111,1.955555556,1.933333333,1.955555556,2.222222222
22,600,7,73C,1.933,2.022,2.022222222,2,2.044444444,2.022222222,2.022222222,2.022222222,2.222222222,2.2,2.2,2.475
22,600,7,19A,1.622,1.667,1.622222222,,,,,,,,,
22,600,7,44E,1.844,1.844,1.844444444,1.822222222,1.844444444,,,,,,,
22,600,7,52C,2.225,2.250,2.225,2.177777778,2.375,2.375,2.4,2.425,2.8,2.8,2.8,3.233333333
22,600,7,06D,1.889,1.911,1.911111111,,,,,,,,,
22,600,7,35G,2.200,2.325,2.2,2.2,2.155555556,,,,,,,
22,600,7,16A,2.067,2.133,2.066666667,,,,,,,,,
22,200,8,65E,1.911,1.911,1.933333333,1.933333333,1.911111111,2.044444444,2.022222222,2.044444444,2.375,2.375,2.4,2.685714286
22,200,8,11E,1.867,1.867,1.866666667,1.866666667,1.844444444,1.866666667,1.866666667,1.866666667,1.888888889,2.022222222,2.022222222,2
22,200,8,20F,1.978,2.000,1.977777778,2,2,2,2,2,2,2,2.2,2.155555556
22,200,8,15B,2.178,2.156,2.177777778,2.177777778,2.3,2.325,2.3,2.325,2.35,2.542857143,2.542857143,2.5
22,200,8,34D,1.556,1.533,1.555555556,1.555555556,1.711111111,1.688888889,1.688888889,1.688888889,1.866666667,1.844444444,1.844444444,1.822222222
22,200,8,91D,1.622,,,,,,,,,,,
22,200,8,20E,1.778,1.778,1.755555556,1.777777778,1.911111111,1.911111111,1.888888889,1.911111111,1.911111111,2.111111111,2.133333333,2.066666667
22,200,8,81D,1.933,1.889,1.955555556,1.955555556,1.977777778,1.977777778,2.022222222,2.022222222,2.022222222,2.022222222,2.2,2.177777778
22,200,8,27A,1.711,1.711,1.688888889,1.777777778,1.755555556,1.755555556,1.755555556,1.755555556,1.977777778,1.977777778,1.977777778,1.955555556
22,200,8,62C,2.089,2.067,2.088888889,2.177777778,2.177777778,2.177777778,2.177777778,2.425,2.45,2.425,2.425,2.45
22,0,9,22A,1.933,1.911,1.977777778,1.933333333,1.933333333,1.955555556,2.044444444,2.066666667,2.088888889,2.35,2.35,2.375
22,0,9,36E,1.956,1.956,2.066666667,2.044444444,2.022222222,2.044444444,2,2.022222222,2.25,2.222222222,2.25,2.25
22,0,9,40A,1.911,1.911,1.955555556,1.911111111,2.111111111,2.133333333,2.088888889,2.111111111,2.375,2.35,2.325,2.35
22,0,9,39B,2.250,2.250,2.022222222,2.25,2.475,2.475,2.475,2.45,2.5,2.657142857,2.685714286,2.685714286
22,0,9,29B,1.667,1.644,1.666666667,1.755555556,1.755555556,1.8,1.755555556,1.777777778,1.911111111,1.933333333,1.933333333,1.911111111
22,0,9,21B,1.844,1.867,1.888888889,1.977777778,1.977777778,2,1.977777778,1.955555556,2.222222222,2.155555556,2.177777778,2.177777778
22,0,9,14D,2.067,2.067,2.111111111,2.066666667,2.177777778,2.222222222,2.177777778,2.2,2.4,2.35,2.375,2.4
22,0,9,09F,2.178,2.178,2.222222222,2.177777778,2.3,2.325,2.325,2.275,2.325,2.275,2.3,2.5
22,0,9,43E,1.733,1.711,1.755555556,1.711111111,1.711111111,1.755555556,1.733333333,1.733333333,1.866666667,1.844444444,1.888888889,1.866666667
22,0,9,15G,1.622,1.622,1.622222222,1.622222222,1.644444444,1.755555556,1.622222222,1.644444444,1.666666667,1.777777778,1.777777778,1.777777778
22,400,10,26E,1.978,1.978,2,2.088888889,2.088888889,2.088888889,2.425,2.375,2.425,2.375,2.714285714,2.657142857
22,400,10,50E,2.044,2.022,2.022222222,2.022222222,2.133333333,2.044444444,2.2,2.177777778,2.222222222,2.5,2.5,2.45
22,400,10,43B,1.644,1.667,,,,,,,,,,
22,400,10,39F,1.800,1.800,1.866666667,,,,,,,,,
22,400,10,84C,1.956,1.956,2.066666667,2.088888889,2.088888889,2.35,2.325,2.35,2.685714286,2.657142857,2.657142857,2.657142857
22,400,10,39C,2.178,2.250,2.222222222,2.325,2.2,2.325,2.3,2.3,2.35,2.571428571,2.5,2.5
22,400,10,45C,1.711,1.711,1.822222222,1.8,1.8,1.8,1.777777778,1.822222222,1.822222222,2,1.955555556,1.933333333
22,400,10,52F,1.800,1.800,,,,,,,,,,
22,400,10,93D,1.556,1.556,1.555555556,1.711111111,1.688888889,1.711111111,1.688888889,,,1.955555556,1.911111111,1.933333333
22,400,10,28F,2.089,2.089,2.088888889,2.088888889,2.133333333,2.088888889,2.133333333,2.088888889,2.133333333,2.088888889,2.3,2.222222222
22,1000,11,02F,2.156,2.000,2.066666667,2.133333333,2.222222222,2.25,2.222222222,2.25,2.222222222,2.222222222,2.475,2.5
22,1000,11,91A,2.000,1.933,2.088888889,2.111111111,2.088888889,2.088888889,2.088888889,2.088888889,2.375,2.325,2.35,2.35
22,1000,11,98E,1.622,1.622,1.622222222,1.688888889,1.666666667,1.666666667,1.888888889,1.866666667,1.977777778,2.177777778,2.177777778,2.177777778
22,1000,11,36A,1.733,1.511,1.511111111,1.555555556,1.6,1.577777778,1.844444444,1.822222222,1.822222222,2.133333333,2.111111111,2.111111111
22,1000,11,97F,1.956,,,,,,,,,,,
22,1000,11,31G,2.067,2.044,2.044444444,2.3,2.2,2.222222222,2.275,2.5,2.571428571,2.571428571,2.933333333,2.933333333
22,1000,11,60A,1.889,1.800,1.955555556,1.977777778,1.955555556,2.022222222,2.275,2.3,2.25,2.742857143,2.685714286,2.685714286
22,1000,11,28E,1.733,1.711,1.711111111,1.822222222,1.8,1.8,1.8,2.066666667,2.088888889,2.111111111,2.066666667,2.4
22,1000,11,94C,2.067,2.000,2,2.111111111,2.133333333,2.111111111,2.133333333,2.155555556,2.4,2.325,2.375,2.375
22,1000,11,20C,2.111,2.067,2.111111111,2.375,2.375,2.4,2.35,2.714285714,2.742857143,2.714285714,2.714285714,3.066666667
22,800,12,58C,1.711,1.689,1.733333333,1.777777778,1.8,1.8,2.022222222,2.044444444,2.425,2.4,2.425,2.4
22,800,12,54A,2.067,2.156,2.2,2.222222222,2.2,2.177777778,2.325,2.35,2.375,2.35,2.475,2.5
22,800,12,79F,1.711,1.689,1.955555556,1.755555556,1.755555556,1.755555556,,,,,,
22,800,12,38G,1.822,,,,,,,,,,,
22,800,12,89F,1.844,1.844,1.866666667,1.844444444,1.844444444,1.977777778,2,1.977777778,2.325,2.325,2.3,2.325
22,800,12,86D,1.933,1.956,2,1.977777778,1.955555556,2.066666667,2.044444444,2.066666667,2.088888889,2.4,2.4,2.425
22,800,12,62E,1.533,1.533,1.6,1.6,1.644444444,1.644444444,1.644444444,1.844444444,1.844444444,1.866666667,2.044444444,2.044444444
22,800,12,07G,2.044,,,,,,,,,,,
22,800,12,06G,1.933,1.956,1.977777778,1.977777778,1.955555556,2.044444444,2.044444444,2.044444444,2.044444444,2.022222222,2.044444444,2.2
22,800,12,82F,2.275,2.222,2.35,2.325,2.5,2.5,2.475,2.5,2.828571429,2.8,2.771428571,2.828571429
